group_id,employee_id,first_name,last_name,date_of_birth,gender,relationship,zip_code,state,source_file,row_issues
G001,E0001,Angel,Hill,1988-12-24,M,employee,29757,DC,broker_a_census.csv,
G001,E0002,Erica,Mcclain,1993-02-26,F,employee,11896,OR,broker_a_census.csv,
G001,E0003,Anthony,Robinson,1979-08-18,M,employee,66738,PA,broker_a_census.csv,
G001,E0003,James,Robinson,1962-08-17,F,spouse,66738,PA,broker_a_census.csv,
G001,E0003,Bridget,Robinson,2006-03-21,M,child,66738,PA,broker_a_census.csv,
G001,E0004,Helen,Peterson,1996-02-20,F,employee,20880,IL,broker_a_census.csv,
G001,E0005,Matthew,Davis,2002-08-24,M,employee,13177,MI,broker_a_census.csv,
G001,E0006,Cassandra,Roman,1997-12-05,M,employee,96148,NH,broker_a_census.csv,
G001,E0006,Teresa,Roman,1984-07-17,F,spouse,96148,NH,broker_a_census.csv,
G001,E0007,Christine,Hensley,1997-02-24,F,employee,76175,ID,broker_a_census.csv,
G001,E0008,Brandon,Perez,1991-10-14,F,employee,38431,CO,broker_a_census.csv,
G001,E0008,Michelle,Perez,2022-09-22,M,child,38431,CO,broker_a_census.csv,
G001,E0009,Francisco,Kelly,1997-05-09,F,employee,88342,KY,broker_a_census.csv,
G001,E0010,Frances,Jones,1991-08-31,M,employee,83728,GA,broker_a_census.csv,
G001,E0011,John,Ford,1984-06-15,F,employee,35883,SC,broker_a_census.csv,
G001,E0012,Jeffrey,Nguyen,1991-01-29,F,employee,07832,IN,broker_a_census.csv,
G001,E0013,Linda,Morales,1996-10-28,F,employee,09176,IL,broker_a_census.csv,
G001,E0013,Ashley,Morales,2000-10-01,M,spouse,09176,IL,broker_a_census.csv,
G001,E0014,Nicole,Day,1982-12-14,F,employee,19227,KS,broker_a_census.csv,
G001,E0014,Julie,Day,1967-06-29,M,spouse,19227,KS,broker_a_census.csv,
G001,E0015,Brandy,Cox,1979-11-28,F,employee,18632,NY,broker_a_census.csv,
G001,E0016,Katelyn,Callahan,1982-09-16,F,employee,20534,SC,broker_a_census.csv,
G001,E0016,Erin,Callahan,1968-05-13,M,spouse,20534,SC,broker_a_census.csv,
G001,E0016,Taylor,Callahan,2015-12-24,F,child,20534,SC,broker_a_census.csv,
G001,E0017,Erin,Wilson,2002-01-04,M,employee,70882,WV,broker_a_census.csv,
G001,E0017,Danielle,Wilson,2007-06-04,M,child,70882,WV,broker_a_census.csv,
G001,E0018,Stephanie,Liu,1980-12-30,F,employee,35023,NY,broker_a_census.csv,
G001,E0018,William,Liu,1994-04-02,M,spouse,35023,NY,broker_a_census.csv,
G001,E0018,William,Liu,2022-05-15,M,child,35023,NY,broker_a_census.csv,
G001,E0018,Stephanie,Liu,2004-09-08,F,child,35023,NY,broker_a_census.csv,
G001,E0019,Andrew,Hickman,1975-06-05,F,employee,40807,IA,broker_a_census.csv,
G001,E0019,Natalie,Hickman,1963-12-23,M,spouse,40807,IA,broker_a_census.csv,
G001,E0020,Chad,Hodges,1982-05-20,M,employee,16984,DC,broker_a_census.csv,
G001,E0021,Stacey,Martin,1989-11-09,M,employee,69664,VI,broker_a_census.csv,
G001,E0021,Tamara,Martin,1987-07-28,F,spouse,69664,VI,broker_a_census.csv,
G001,E0021,Jennifer,Martin,2018-06-03,M,child,69664,VI,broker_a_census.csv,
G001,E0022,Rachel,Hayes,1977-07-17,M,employee,32994,IN,broker_a_census.csv,
G001,E0023,Andrew,Spencer,1964-03-28,F,employee,77629,IN,broker_a_census.csv,
G001,E0024,Jean,Brown,1961-10-17,M,employee,09335,MH,broker_a_census.csv,
G001,E0024,Mark,Brown,1962-11-02,F,spouse,09335,MH,broker_a_census.csv,
G001,E0024,Amber,Brown,2013-02-08,M,child,09335,MH,broker_a_census.csv,
G001,E0025,Kristen,Aguirre,1981-10-23,M,employee,25458,CT,broker_a_census.csv,
G001,E0025,Ryan,Aguirre,1965-08-27,F,spouse,25458,CT,broker_a_census.csv,
G001,E0025,Emily,Aguirre,2019-06-11,F,child,25458,CT,broker_a_census.csv,
G001,E0026,Matthew,Hensley,1978-10-19,F,employee,33092,ID,broker_a_census.csv,
G001,E0027,Shane,Henderson,1969-08-31,F,employee,37010,NH,broker_a_census.csv,
G001,E0028,Sandra,Ramos,1972-03-24,F,employee,72633,CT,broker_a_census.csv,
G001,E0029,Yvette,Huff,1963-08-30,F,employee,12725,WV,broker_a_census.csv,
G001,E0030,Gabriel,Tucker,1997-12-24,M,employee,28517,VI,broker_a_census.csv,
G001,E0031,Brian,Gray,1978-09-24,F,employee,51674,KS,broker_a_census.csv,
G001,E0031,Kristen,Gray,2001-04-29,M,spouse,51674,KS,broker_a_census.csv,
G001,E0031,Angela,Gray,2026-05-14,F,child,51674,KS,broker_a_census.csv,
G001,E0032,Tanya,Riley,1974-03-31,F,employee,71567,AR,broker_a_census.csv,
G001,E0033,Brian,Silva,1993-08-25,M,employee,66410,PW,broker_a_census.csv,
G001,E0034,Eric,Yu,1998-02-25,M,employee,11001,PR,broker_a_census.csv,
G001,E0034,Brooke,Yu,2005-04-26,M,child,11001,PR,broker_a_census.csv,
