group_id,employee_id,first_name,last_name,date_of_birth,gender,relationship,zip_code,state,source_file,row_issues
G002,E0001,Meghan,Davis,2000-06-01,M,employee,56019,MP,broker_b_census.csv,
G002,E0001,Adam,Davis,2007-09-06,M,child,56019,MP,broker_b_census.csv,
G002,E0001,Scott,Davis,2004-09-08,M,child,56019,MP,broker_b_census.csv,
G002,E0002,Sierra,Vazquez,1966-04-19,F,employee,20037,ND,broker_b_census.csv,
G002,E0002,Mike,Vazquez,1963-01-13,M,spouse,20037,ND,broker_b_census.csv,
G002,E0002,Michael,Vazquez,2001-07-29,M,child,20037,ND,broker_b_census.csv,
G002,E0003,Evelyn,Estrada,1976-11-14,F,employee,46858,WI,broker_b_census.csv,
G002,E0004,Nancy,Dickson,1985-07-24,F,employee,98736,FL,broker_b_census.csv,
G002,E0004,Joel,Dickson,2001-04-18,M,spouse,98736,FL,broker_b_census.csv,
G002,E0004,Harry,Dickson,2011-03-17,F,child,98736,FL,broker_b_census.csv,
G002,E0004,Jill,Dickson,2017-11-26,M,child,98736,FL,broker_b_census.csv,
G002,E0005,Patrick,Williams,1991-08-23,M,employee,62195,IN,broker_b_census.csv,
G002,E0006,Samantha,Bailey,1970-01-25,M,employee,30332,IN,broker_b_census.csv,
G002,E0007,James,Murphy,1962-07-03,F,employee,09600,WI,broker_b_census.csv,
G002,E0007,Darlene,Murphy,1973-06-27,M,spouse,09600,WI,broker_b_census.csv,
G002,E0007,Darrell,Murphy,2024-11-26,M,child,09600,WI,broker_b_census.csv,
G002,E0008,Joseph,Rodriguez,2002-11-16,M,employee,57460,MI,broker_b_census.csv,
G002,E0008,Lee,Rodriguez,1992-10-24,F,spouse,57460,MI,broker_b_census.csv,
G002,E0008,Barbara,Rodriguez,2010-07-02,M,child,57460,MI,broker_b_census.csv,
G002,E0009,Sara,Ryan,1961-07-23,F,employee,94798,WA,broker_b_census.csv,
G002,E0009,James,Ryan,1993-03-06,M,spouse,94798,WA,broker_b_census.csv,
G002,E0010,Lee,Charles,1975-09-08,M,employee,94840,MH,broker_b_census.csv,
G002,E0010,Kyle,Charles,1974-05-26,F,spouse,94840,MH,broker_b_census.csv,
G002,E0010,David,Charles,2008-03-04,M,child,94840,MH,broker_b_census.csv,
G002,E0010,Grant,Charles,2019-12-09,F,child,94840,MH,broker_b_census.csv,
G002,E0011,Kevin,Clark,1997-05-03,F,employee,76520,PA,broker_b_census.csv,
G002,E0011,Steven,Clark,1989-08-21,M,spouse,76520,PA,broker_b_census.csv,
G002,E0011,Rachel,Clark,2012-10-15,F,child,76520,PA,broker_b_census.csv,
G002,E0011,Zachary,Clark,2002-09-10,F,child,76520,PA,broker_b_census.csv,
G002,E0012,Karen,Chambers,1996-09-05,M,employee,29945,AS,broker_b_census.csv,
G002,E0013,Andrew,Sanchez,1970-01-18,M,employee,62778,RI,broker_b_census.csv,
G002,E0014,Charles,Perry,1998-01-09,M,employee,83045,OK,broker_b_census.csv,
G002,E0015,Heather,Snyder,1969-11-05,M,employee,32480,FL,broker_b_census.csv,
G002,E0016,Adam,Potter,1989-09-12,M,employee,14471,WI,broker_b_census.csv,
G002,E0016,Gregory,Potter,2011-07-17,M,child,14471,WI,broker_b_census.csv,
G002,E0016,John,Potter,2001-10-16,F,child,14471,WI,broker_b_census.csv,
G002,E0017,Elizabeth,Travis,1995-12-13,F,employee,78548,MD,broker_b_census.csv,
G002,E0018,Patricia,Salazar,2002-05-04,M,employee,94777,MH,broker_b_census.csv,
G002,E0018,Maria,Salazar,1983-03-12,F,spouse,94777,MH,broker_b_census.csv,
G002,E0018,Shannon,Salazar,2022-11-19,F,child,94777,MH,broker_b_census.csv,
G002,E0019,Adrienne,Sims,1994-06-01,M,employee,36493,NV,broker_b_census.csv,
