group_id,employee_id,first_name,last_name,date_of_birth,gender,relationship,zip_code,state,source_file,row_issues
G003,E0001,Mark,Freeman,1982-09-28,F,employee,47008,AS,broker_c_census.csv,
G003,E0001,Joshua,Freeman,1972-08-05,M,spouse,47008,AS,broker_c_census.csv,
G003,E0002,Stacy,Miller,1961-03-12,M,employee,94882,MT,broker_c_census.csv,
G003,E0003,Katherine,Vaughn,1982-06-30,U,employee,85160,VT,broker_c_census.csv,unknown gender 'nan' -> U
G003,E0003,Laura,Vaughn,2013-03-31,M,child,85160,VT,broker_c_census.csv,
G003,E0003,Kevin,Vaughn,2018-06-22,M,child,85160,VT,broker_c_census.csv,
G003,E0004,Ronald,Reese,1984-04-25,F,employee,43858,MI,broker_c_census.csv,
G003,E0005,Joseph,King,1991-09-17,M,employee,,VA,broker_c_census.csv,missing zip_code
G003,E0006,David,Herrera,1969-07-10,M,employee,90962,HI,broker_c_census.csv,
G003,E0006,Joanna,Herrera,1969-09-21,F,spouse,90962,HI,broker_c_census.csv,
G003,E0007,Justin,Garcia,,F,employee,25944,LA,broker_c_census.csv,future DOB 2027-06-27
G003,E0007,Harry,Garcia,2006-05-27,F,child,25944,LA,broker_c_census.csv,
G003,E0007,Terri,Garcia,2007-08-14,M,child,25944,LA,broker_c_census.csv,
G003,E0008,Karen,Garcia,1988-11-30,F,employee,02108,OK,broker_c_census.csv,
G003,E0009,Timothy,Peterson,1973-09-17,F,employee,07235,KS,broker_c_census.csv,
G003,E0009,Tim,Peterson,2001-12-14,M,spouse,07235,KS,broker_c_census.csv,
G003,E0010,Crystal,Brown,1964-02-09,M,employee,20056,AS,broker_c_census.csv,
G003,E0011,Kevin,Mcknight,1985-08-09,M,employee,16026,OH,broker_c_census.csv,
G003,E0012,Catherine,Gibbs,1994-05-11,M,employee,30082,WI,broker_c_census.csv,
G003,E0013,Shannon,Ramos,1983-12-16,F,employee,77640,NE,broker_c_census.csv,
G003,E0013,Christine,Ramos,1974-08-14,M,spouse,77640,NE,broker_c_census.csv,
G003,E0013,Jared,Ramos,2025-02-14,F,child,77640,NE,broker_c_census.csv,
G003,E0013,Glenn,Ramos,2004-07-27,F,child,77640,NE,broker_c_census.csv,
G003,E0014,Brittney,Carter,1980-11-09,M,employee,30841,LA,broker_c_census.csv,
G003,E0014,Jacqueline,Carter,1991-11-20,F,spouse,30841,LA,broker_c_census.csv,
G003,E0015,Kristin,Weber,2001-03-19,F,employee,87163,AS,broker_c_census.csv,
G003,E0015,Ronald,Weber,2001-08-20,M,spouse,87163,AS,broker_c_census.csv,
G003,E0016,Margaret,Jones,2000-07-19,M,employee,22248,WY,broker_c_census.csv,
G003,E0016,Kaitlyn,Jones,1974-09-18,F,spouse,22248,WY,broker_c_census.csv,
G003,E0016,Haley,Jones,2003-09-20,M,child,22248,WY,broker_c_census.csv,
G003,E0017,Samuel,George,1984-09-14,M,employee,57127,WA,broker_c_census.csv,
G003,E0018,John,Davis,1975-05-07,M,employee,88882,MP,broker_c_census.csv,
G003,E0018,Brenda,Davis,2022-11-10,F,child,88882,MP,broker_c_census.csv,
G003,E0019,Billy,Avila,1973-01-27,M,employee,62170,NC,broker_c_census.csv,
G003,E0019,Sabrina,Avila,2017-06-04,F,child,62170,NC,broker_c_census.csv,
G003,E0020,Travis,Davis,1988-12-10,F,employee,46108,MT,broker_c_census.csv,
G003,E0021,Elizabeth,Hodge,1975-10-26,M,employee,43729,MT,broker_c_census.csv,
G003,E0022,Keith,Landry,1991-04-25,F,employee,72603,AZ,broker_c_census.csv,
G003,E0022,Leonard,Landry,2012-04-24,F,child,72603,AZ,broker_c_census.csv,
G003,E0023,Vanessa,Sandoval,1983-08-13,M,employee,71619,NH,broker_c_census.csv,
G003,E0024,Jacob,Cox,1979-04-04,F,employee,99649,NM,broker_c_census.csv,
G003,E0024,Kathleen,Cox,1988-05-18,M,spouse,99649,NM,broker_c_census.csv,
G003,E0025,Samuel,Wolfe,2001-05-18,M,employee,16416,AK,broker_c_census.csv,
G003,E0026,Chelsea,Allen,2003-05-02,M,employee,21259,ME,broker_c_census.csv,
G003,E0026,Andrea,Allen,1985-03-04,F,spouse,21259,ME,broker_c_census.csv,
G003,E0027,Deborah,Moore,2002-03-18,M,employee,94427,LA,broker_c_census.csv,
G003,E0028,Joshua,Davenport,1983-05-15,F,employee,62395,IA,broker_c_census.csv,
G003,E0028,Duane,Davenport,1981-02-16,M,spouse,62395,IA,broker_c_census.csv,
G003,E0028,Derek,Davenport,2019-11-21,M,child,62395,IA,broker_c_census.csv,
G003,E0028,William,Davenport,2024-10-10,F,child,62395,IA,broker_c_census.csv,
G003,E0029,Brenda,Duarte,1974-04-29,M,employee,64679,VI,broker_c_census.csv,
G003,E0029,Amanda,Duarte,1967-11-16,F,spouse,64679,VI,broker_c_census.csv,
G003,E0029,Stanley,Duarte,2014-08-13,F,child,64679,VI,broker_c_census.csv,
G003,E0030,Patrick,Chase,1971-10-03,F,employee,54342,AZ,broker_c_census.csv,
G003,E0030,Thomas,Chase,1975-03-03,M,spouse,54342,AZ,broker_c_census.csv,
G003,E0030,Laura,Chase,2026-03-08,M,child,54342,AZ,broker_c_census.csv,
G003,E0030,David,Chase,2025-07-27,M,child,54342,AZ,broker_c_census.csv,
G003,E0001,Mark,Freeman,1982-09-28,F,employee,47008,AS,broker_c_census.csv,
G003,E0003,Kevin,Vaughn,2018-06-22,M,child,85160,VT,broker_c_census.csv,
G003,E9999,Stacy,Miller,1961-03-12,M,child,94882,MT,broker_c_census.csv,
