group_id,employee_id,first_name,last_name,date_of_birth,gender,relationship,zip_code,state,source_file,row_issues
G004,E0001,Megan,Garcia,1965-10-20,F,employee,60391,AL,broker_d_census.xlsx,
G004,E0001,Robert,Garcia,1992-07-20,M,spouse,60391,AL,broker_d_census.xlsx,
G004,E0001,Tanya,Garcia,2012-09-10,F,child,60391,AL,broker_d_census.xlsx,
G004,E0001,Melissa,Garcia,2017-05-19,F,child,60391,AL,broker_d_census.xlsx,
G004,E0002,Courtney,Clay,2002-07-07,M,employee,64457,VI,broker_d_census.xlsx,
G004,E0002,Christina,Clay,1984-10-01,F,spouse,64457,VI,broker_d_census.xlsx,
G004,E0002,Jeremy,Clay,2007-12-16,F,child,64457,VI,broker_d_census.xlsx,
G004,E0003,Monique,Wallace,1988-09-26,M,employee,91465,ME,broker_d_census.xlsx,
G004,E0003,Brandon,Wallace,2023-12-22,F,child,91465,ME,broker_d_census.xlsx,
G004,E0004,Dustin,Schmidt,1977-08-09,M,employee,74678,TX,broker_d_census.xlsx,
G004,E0005,George,Miller,1995-07-26,M,employee,50641,RI,broker_d_census.xlsx,
G004,E0005,Tyler,Miller,2018-04-01,F,child,50641,RI,broker_d_census.xlsx,
G004,E0006,Steve,Estrada,1988-11-30,F,employee,61482,MH,broker_d_census.xlsx,
G004,E0006,Amy,Estrada,2007-12-19,M,child,61482,MH,broker_d_census.xlsx,
G004,E0006,Suzanne,Estrada,2008-04-06,M,child,61482,MH,broker_d_census.xlsx,
G004,E0007,Yvonne,Castaneda,1974-06-24,F,employee,14480,IA,broker_d_census.xlsx,
G004,E0007,Michael,Castaneda,1977-11-19,M,spouse,14480,IA,broker_d_census.xlsx,
G004,E0007,Maria,Castaneda,2001-01-21,M,child,14480,IA,broker_d_census.xlsx,
G004,E0008,Kimberly,Beltran,1998-09-07,F,employee,79983,WA,broker_d_census.xlsx,
G004,E0008,Rebecca,Beltran,1982-11-05,M,spouse,79983,WA,broker_d_census.xlsx,
G004,E0009,Jeffery,Lee,1995-12-21,F,employee,33351,TX,broker_d_census.xlsx,
G004,E0010,Katrina,Becker,1993-12-23,F,employee,18428,SC,broker_d_census.xlsx,
G004,E0011,Courtney,Williams,1965-08-31,M,employee,58280,AZ,broker_d_census.xlsx,
G004,E0011,Jessica,Williams,1986-05-29,F,spouse,58280,AZ,broker_d_census.xlsx,
G004,E0011,Gregory,Williams,2019-12-03,F,child,58280,AZ,broker_d_census.xlsx,
G004,E0011,Alyssa,Williams,2025-09-29,F,child,58280,AZ,broker_d_census.xlsx,
G004,E0012,Sherry,Coffey,2000-10-16,M,employee,39185,WA,broker_d_census.xlsx,
G004,E0012,Linda,Coffey,2023-02-12,F,child,39185,WA,broker_d_census.xlsx,
G004,E0012,Jeremiah,Coffey,2020-02-04,F,child,39185,WA,broker_d_census.xlsx,
