EmpID,First Name,Last Name,DOB,Gender,Relationship,Zip,State
E0001,Angel,Hill,1988-12-24,M,EE,29757,DC
E0002,Erica,Mcclain,1993-02-26,F,EE,11896,OR
E0003,Anthony,Robinson,1979-08-18,M,EE,66738,PA
E0003,James,Robinson,1962-08-17,F,SP,66738,PA
E0003,Bridget,Robinson,2006-03-21,M,CH,66738,PA
E0004,Helen,Peterson,1996-02-20,F,EE,20880,IL
E0005,Matthew,Davis,2002-08-24,M,EE,13177,MI
E0006,Cassandra,Roman,1997-12-05,M,EE,96148,NH
E0006,Teresa,Roman,1984-07-17,F,SP,96148,NH
E0007,Christine,Hensley,1997-02-24,F,EE,76175,ID
E0008,Brandon,Perez,1991-10-14,F,EE,38431,CO
E0008,Michelle,Perez,2022-09-22,M,CH,38431,CO
E0009,Francisco,Kelly,1997-05-09,F,EE,88342,KY
E0010,Frances,Jones,1991-08-31,M,EE,83728,GA
E0011,John,Ford,1984-06-15,F,EE,35883,SC
E0012,Jeffrey,Nguyen,1991-01-29,F,EE,07832,IN
E0013,Linda,Morales,1996-10-28,F,EE,09176,IL
E0013,Ashley,Morales,2000-10-01,M,SP,09176,IL
E0014,Nicole,Day,1982-12-14,F,EE,19227,KS
E0014,Julie,Day,1967-06-29,M,SP,19227,KS
E0015,Brandy,Cox,1979-11-28,F,EE,18632,NY
E0016,Katelyn,Callahan,1982-09-16,F,EE,20534,SC
E0016,Erin,Callahan,1968-05-13,M,SP,20534,SC
E0016,Taylor,Callahan,2015-12-24,F,CH,20534,SC
E0017,Erin,Wilson,2002-01-04,M,EE,70882,WV
E0017,Danielle,Wilson,2007-06-04,M,CH,70882,WV
E0018,Stephanie,Liu,1980-12-30,F,EE,35023,NY
E0018,William,Liu,1994-04-02,M,SP,35023,NY
E0018,William,Liu,2022-05-15,M,CH,35023,NY
E0018,Stephanie,Liu,2004-09-08,F,CH,35023,NY
E0019,Andrew,Hickman,1975-06-05,F,EE,40807,IA
E0019,Natalie,Hickman,1963-12-23,M,SP,40807,IA
E0020,Chad,Hodges,1982-05-20,M,EE,16984,DC
E0021,Stacey,Martin,1989-11-09,M,EE,69664,VI
E0021,Tamara,Martin,1987-07-28,F,SP,69664,VI
E0021,Jennifer,Martin,2018-06-03,M,CH,69664,VI
E0022,Rachel,Hayes,1977-07-17,M,EE,32994,IN
E0023,Andrew,Spencer,1964-03-28,F,EE,77629,IN
E0024,Jean,Brown,1961-10-17,M,EE,09335,MH
E0024,Mark,Brown,1962-11-02,F,SP,09335,MH
E0024,Amber,Brown,2013-02-08,M,CH,09335,MH
E0025,Kristen,Aguirre,1981-10-23,M,EE,25458,CT
E0025,Ryan,Aguirre,1965-08-27,F,SP,25458,CT
E0025,Emily,Aguirre,2019-06-11,F,CH,25458,CT
E0026,Matthew,Hensley,1978-10-19,F,EE,33092,ID
E0027,Shane,Henderson,1969-08-31,F,EE,37010,NH
E0028,Sandra,Ramos,1972-03-24,F,EE,72633,CT
E0029,Yvette,Huff,1963-08-30,F,EE,12725,WV
E0030,Gabriel,Tucker,1997-12-24,M,EE,28517,VI
E0031,Brian,Gray,1978-09-24,F,EE,51674,KS
E0031,Kristen,Gray,2001-04-29,M,SP,51674,KS
E0031,Angela,Gray,2026-05-14,F,CH,51674,KS
E0032,Tanya,Riley,1974-03-31,F,EE,71567,AR
E0033,Brian,Silva,1993-08-25,M,EE,66410,PW
E0034,Eric,Yu,1998-02-25,M,EE,11001,PR
E0034,Brooke,Yu,2005-04-26,M,CH,11001,PR
E0034,Pamela,Yu,2003-08-09,F,CH,11001,PR
E0035,Robert,Silva,1988-02-14,M,EE,69023,MD
E0036,James,Moran,2001-09-05,F,EE,31786,KS
E0036,Emily,Moran,1978-07-04,M,SP,31786,KS
E0037,Albert,Howell,2001-09-21,M,EE,74293,CT
E0037,Jason,Howell,2002-05-23,F,CH,74293,CT
E0038,John,Mitchell,1964-06-11,F,EE,57934,MP
E0039,Kevin,Riggs,1984-11-04,F,EE,86218,NC
E0040,Lisa,Evans,1961-10-27,M,EE,87452,CT
E0040,Dennis,Evans,2001-11-10,F,SP,87452,CT
E0040,Joseph,Evans,2014-11-14,F,CH,87452,CT
E0040,Cynthia,Evans,2005-10-12,M,CH,87452,CT
