Employee Identifier,Member First Name,Member Last Name,Date of Birth,Sex,Relationship to Subscriber,Zip Code,Home State
E0001,Meghan,Davis,06/01/2000,Male,Employee,56019,MP
E0001,Adam,Davis,09/06/2007,Male,Child,56019,MP
E0001,Scott,Davis,09/08/2004,Male,Child,56019,MP
E0002,Sierra,Vazquez,04/19/1966,Female,Employee,20037,ND
E0002,Mike,Vazquez,01/13/1963,Male,Spouse,20037,ND
E0002,Michael,Vazquez,07/29/2001,Male,Child,20037,ND
E0003,Evelyn,Estrada,11/14/1976,Female,Employee,46858,WI
E0004,Nancy,Dickson,07/24/1985,Female,Employee,98736,FL
E0004,Joel,Dickson,04/18/2001,Male,Spouse,98736,FL
E0004,Harry,Dickson,03/17/2011,Female,Child,98736,FL
E0004,Jill,Dickson,11/26/2017,Male,Child,98736,FL
E0005,Patrick,Williams,08/23/1991,Male,Employee,62195,IN
E0006,Samantha,Bailey,01/25/1970,Male,Employee,30332,IN
E0007,James,Murphy,07/03/1962,Female,Employee,09600,WI
E0007,Darlene,Murphy,06/27/1973,Male,Spouse,09600,WI
E0007,Darrell,Murphy,11/26/2024,Male,Child,09600,WI
E0008,Joseph,Rodriguez,11/16/2002,Male,Employee,57460,MI
E0008,Lee,Rodriguez,10/24/1992,Female,Spouse,57460,MI
E0008,Barbara,Rodriguez,07/02/2010,Male,Child,57460,MI
E0009,Sara,Ryan,07/23/1961,Female,Employee,94798,WA
E0009,James,Ryan,03/06/1993,Male,Spouse,94798,WA
E0010,Lee,Charles,09/08/1975,Male,Employee,94840,MH
E0010,Kyle,Charles,05/26/1974,Female,Spouse,94840,MH
E0010,David,Charles,03/04/2008,Male,Child,94840,MH
E0010,Grant,Charles,12/09/2019,Female,Child,94840,MH
E0011,Kevin,Clark,05/03/1997,Female,Employee,76520,PA
E0011,Steven,Clark,08/21/1989,Male,Spouse,76520,PA
E0011,Rachel,Clark,10/15/2012,Female,Child,76520,PA
E0011,Zachary,Clark,09/10/2002,Female,Child,76520,PA
E0012,Karen,Chambers,09/05/1996,Male,Employee,29945,AS
E0013,Andrew,Sanchez,01/18/1970,Male,Employee,62778,RI
E0014,Charles,Perry,01/09/1998,Male,Employee,83045,OK
E0015,Heather,Snyder,11/05/1969,Male,Employee,32480,FL
E0016,Adam,Potter,09/12/1989,Male,Employee,14471,WI
E0016,Gregory,Potter,07/17/2011,Male,Child,14471,WI
E0016,John,Potter,10/16/2001,Female,Child,14471,WI
E0017,Elizabeth,Travis,12/13/1995,Female,Employee,78548,MD
E0018,Patricia,Salazar,05/04/2002,Male,Employee,94777,MH
E0018,Maria,Salazar,03/12/1983,Female,Spouse,94777,MH
E0018,Shannon,Salazar,11/19/2022,Female,Child,94777,MH
E0019,Adrienne,Sims,06/01/1994,Male,Employee,36493,NV
E0019,Justin,Sims,10/25/1964,Female,Spouse,36493,NV
E0019,Devon,Sims,07/13/2014,Male,Child,36493,NV
E0020,Caleb,Russell,11/12/1991,Male,Employee,71622,NH
E0021,Jamie,Fisher,05/14/1979,Female,Employee,77057,UT
E0022,Nicole,Johnston,04/29/1962,Female,Employee,63019,AL
E0022,Kenneth,Johnston,01/09/2002,Male,Spouse,63019,AL
E0023,Amy,Morrison,08/18/1993,Male,Employee,29407,NM
E0024,Ryan,Johnson,12/03/1970,Female,Employee,44558,TN
E0024,Richard,Johnson,02/22/2018,Male,Child,44558,TN
E0025,Cindy,Johnson,12/22/1966,Male,Employee,52146,OR
E0026,Anthony,Day,10/03/1985,Male,Employee,18287,VI
E0027,Brent,Gray,05/04/1981,Male,Employee,28243,NH
E0027,Kathleen,Gray,12/25/2008,Male,Child,28243,NH
E0027,Mary,Gray,06/13/2011,Male,Child,28243,NH
E0028,Stephanie,Walker,09/23/1963,Male,Employee,09494,WI
E0028,Billy,Walker,08/26/2002,Female,Spouse,09494,WI
E0028,Christine,Walker,04/22/2022,Male,Child,09494,WI
E0028,Stacie,Walker,06/18/2003,Male,Child,09494,WI
E0029,Catherine,Stuart,05/07/1977,Female,Employee,94657,DE
E0030,Frank,Collins,12/06/1994,Female,Employee,76350,AK
E0030,Barbara,Collins,08/20/2024,Male,Child,76350,AK
E0030,James,Collins,12/18/2024,Female,Child,76350,AK
E0031,Kendra,Jefferson,11/13/1965,Female,Employee,79198,AS
E0031,Tonya,Jefferson,09/10/1966,Male,Spouse,79198,AS
E0031,Mitchell,Jefferson,08/16/2011,Female,Child,79198,AS
E0031,Lynn,Jefferson,07/29/2022,Female,Child,79198,AS
E0032,Steve,Hernandez,10/29/1999,Female,Employee,23587,VA
E0033,Debra,Gilbert,12/03/1983,Female,Employee,71040,WI
E0034,Ryan,Simon,04/11/1982,Male,Employee,35680,MD
E0034,Mariah,Simon,02/10/1998,Female,Spouse,35680,MD
E0035,Ashley,Barnett,10/03/1993,Female,Employee,44593,AK
