id,fname,lname,birth_date,gender,rel,zipcode,st
E0001,Mark,Freeman,09-28-1982,f,EE,47008,AS
E0001,Joshua,Freeman,08/05/1972,M,Spouse,47008,AS
E0002,Stacy,Miller,03/12/1961,m,EE,94882,MT
E0003,Katherine,Vaughn,06-30-1982,,EE,85160,VT
E0003,Laura,Vaughn,03-31-2013,M,Dependent,85160,VT
E0003,Kevin,Vaughn,2018/06/22,M,Dependent,85160,VT
E0004,Ronald,Reese,1984/04/25,F,EE,43858,MI
E0005,Joseph,King,09-17-1991,m,EE,,VA
E0006,David,Herrera,07/10/1969,m,EE,90962,HI
E0006,Joanna,Herrera,09-21-1969,F,Spouse,90962,HI
E0007,Justin,Garcia,06/27/2027,F,EE,25944,LA
E0007,Harry,Garcia,2006/05/27,f,Dependent,25944,LA
E0007,Terri,Garcia,14/08/2007,M,Dependent,25944,LA
E0008,Karen,Garcia,30/11/1988,f,EE,2108,OK
E0009,Timothy,Peterson,1973/09/17,f,EE,7235,KS
E0009,Tim,Peterson,12/14/2001,M,Spouse,7235,KS
E0010,Crystal,Brown,02/09/1964,M,EE,20056,AS
E0011,Kevin,Mcknight,08/09/1985,M,EE,16026,OH
E0012,Catherine,Gibbs,05/11/1994,m,EE,30082,WI
E0013,Shannon,Ramos,16/12/1983,f,EE,77640,NE
E0013,Christine,Ramos,1974/08/14,M,Spouse,77640,NE
E0013,Jared,Ramos,2025/02/14,F,Dependent,77640,NE
E0013,Glenn,Ramos,27/07/2004,F,Dependent,77640,NE
E0014,Brittney,Carter,1980/11/09,M,EE,30841,LA
E0014,Jacqueline,Carter,11-20-1991,f,Spouse,30841,LA
E0015,Kristin,Weber,2001/03/19,F,EE,87163,AS
E0015,Ronald,Weber,20/08/2001,m,Spouse,87163,AS
E0016,Margaret,Jones,07/19/2000,m,EE,22248,WY
E0016,Kaitlyn,Jones,18/09/1974,f,Spouse,22248,WY
E0016,Haley,Jones,20/09/2003,m,Dependent,22248,WY
E0017,Samuel,George,14/09/1984,M,EE,57127,WA
E0018,John,Davis,05-07-1975,m,EE,88882,MP
E0018,Brenda,Davis,2022/11/10,F,Dependent,88882,MP
E0019,Billy,Avila,27/01/1973,m,EE,62170,NC
E0019,Sabrina,Avila,06/04/2017,f,Dependent,62170,NC
E0020,Travis,Davis,12/10/1988,F,EE,46108,MT
E0021,Elizabeth,Hodge,1975/10/26,m,EE,43729,MT
E0022,Keith,Landry,1991/04/25,f,EE,72603,AZ
E0022,Leonard,Landry,2012/04/24,F,Dependent,72603,AZ
E0023,Vanessa,Sandoval,1983/08/13,M,EE,71619,NH
E0024,Jacob,Cox,04/04/1979,f,EE,99649,NM
E0024,Kathleen,Cox,18/05/1988,M,Spouse,99649,NM
E0025,Samuel,Wolfe,05-18-2001,m,EE,16416,AK
E0026,Chelsea,Allen,05-02-2003,M,EE,21259,ME
E0026,Andrea,Allen,03-04-1985,F,Spouse,21259,ME
E0027,Deborah,Moore,03/18/2002,M,EE,94427,LA
E0028,Joshua,Davenport,1983/05/15,F,EE,62395,IA
E0028,Duane,Davenport,1981/02/16,m,Spouse,62395,IA
E0028,Derek,Davenport,11-21-2019,m,Dependent,62395,IA
E0028,William,Davenport,2024/10/10,f,Dependent,62395,IA
E0029,Brenda,Duarte,04-29-1974,M,EE,64679,VI
E0029,Amanda,Duarte,11/16/1967,F,Spouse,64679,VI
E0029,Stanley,Duarte,2014/08/13,F,Dependent,64679,VI
E0030,Patrick,Chase,10-03-1971,f,EE,54342,AZ
E0030,Thomas,Chase,03/03/1975,M,Spouse,54342,AZ
E0030,Laura,Chase,03/08/2026,m,Dependent,54342,AZ
E0030,David,Chase,07-27-2025,m,Dependent,54342,AZ
E0001,Mark,Freeman,09-28-1982,f,EE,47008,AS
E0003,Kevin,Vaughn,2018/06/22,M,Dependent,85160,VT
E9999,Stacy,Miller,03/12/1961,m,Dependent,94882,MT
